Great product,Value for money great
mobile,This mobile is so good design is absolutely super delivery item is not good this mobile i am watching if you note earphone provide but earphone not with me
Awesome phone ever,Camera is in quality and display very depth in color high quality display is there
phone with great,Phone is awesome and all the are attractive only battery life is not that good Rose gold colour is fabulous Very great Quick delivery and everything
,This is my second android device after galaxy y i hope it also run like my mobile time i ordered a mobile from and I had a thrill in this device Good job in making this but why not give the earphone with this phone
Happy with,I m really happy with this product
Worst product,No service worst
best camera phone,Best phone in this budget it
,nice phone
Excellent Product,good camera
Happy and good site,Awesome nice
Nice phone Camera not too gud but overall its fine Look is awesome overall nice in this range,Don t think any more just go for it
True value for money,Top class phone with power performance amazing camera quality fast finger print snapdragon processor which is awesome ram in this price range really its a wow factor Phone does not a bit even after a lot of working together I am more than happy with this phone If you are about to purchase it then I say don t think just buy and you will become a fan of it
Good Product with reasonable price,Nice look good camera but no free given
Battery backup bad,Battery backup very low
,This phone is really nice paisa Camera theek Battery
Best buy,Value for money used Best till date no problem at all
Very nice,All of u take this product
Value for money,Best mobile phone at this rate for these specs
sleek premium,Lag of Storage and average camera
The best phone in this price,Great phone there is a heating issue in my unit Battery is not bad at all but its not great Good camera but in low light not good Good fingerprint sensor Great gaming performance There is no scream not to worry about that If your looking to buy a phone at this price range this is the best phone go ahead
Good Product,Received the product today at from The lee handset is quite nice but not met my Camera quality is very poor at least good camera was within this price range but here we are no Nice and light mobile from If you want a new gadget at low price go for it
Good Product,nice product
battery backup is not good at all,charging is decreasing very fast and phone is getting ordered a replacement still no response from
,Very good mobile
Love this,It s good
It is good,The delivery was fast The product is not very better I recommend note it is outstanding
I love,Nice is awesome
About phone delivery,Excellent service
Mobile,Not much satisfaction
Best Android phone,This is the best Android phone in this segment You have consider the fact that you are a Snapdragon phone at this price point Other sell mediocre Snapdragon based at this range Also this is to get Android N update soon Camera and finger print sensor works well Memory management is awesome Also out of the box So good news for all Just go for it
Very good phone,Nice experience
Best phone in its price,I could have given but because of the company s service should have given free with the handset or else the device met above It s camera is also good the phone Thank You
Design r good but within days phone is not working with battery its worst,Battery backup very less its without if use net just to
very good device,my first android phone everything is fine in this phone like camera ram battery backup
smart phone,Happy with early delivery but the phone is not worth
Good phone,Good phone at this price
